Scenario_ID,n,changed,change_rate,final_mean,synthetic_mean,delta_mean,Question_Text
0,47,22,0.46808510638297873,0.5531914893617021,0.2978723404255319,-0.25531914893617025,"Bạn là quản lý kho của một cửa hàng văn phòng phẩm nhỏ, cần nhập 50 ram giấy A4 (tổng trọng lượng khoảng 100-120kg). Nhà cung cấp A báo giá trọn gói 2.300.000đ giao tận nơi. Nhà cung cấp B báo giá chỉ 1.800.000đ, nhưng bạn phải tự lái xe 7km đường giờ cao điểm để chở về."
1,30,24,0.8,1.0,0.2,-0.8,Bạn dành ngày Chủ Nhật duy nhất để sơn lại phòng nhưng bị hết sơn lúc 3 rưỡi chiều. Cửa hàng sơn pha màu chuẩn cách nhà 10km và sẽ đóng cửa lúc 5 giờ chiều. Bạn đứng trước lựa chọn: Đặt giao hàng hỏa tốc (phải mua thùng to 5 lít) hoặc tự đi mua (mua 2 lon nhỏ).
2,47,21,0.44680851063829785,0.46808510638297873,0.10638297872340426,-0.3617021276595745,"Bạn quản lý dây chuyền đóng gói bánh kẹo. Lợi nhuận mỗi gói đạt chuẩn là 1.000đ, nhưng chi phí xử lý 1 gói lỗi (vứt bỏ) lên tới 30.000đ. Bạn cần chọn 1 trong 2 máy để vận hành trong 1 giờ nhằm tối ưu hiệu quả:
Máy A: 100 gói/phút, tỷ lệ lỗi 0.1%.
Máy B: 120 gói/phút, tỷ lệ lỗi 0.5%.  "
3,47,17,0.3617021276595745,0.3829787234042553,0.14893617021276595,-0.23404255319148937,"Bạn sắp đi công tác Singapore 3 ngày. Công ty cấp ngân sách tối đa 7 triệu đồng cho vé máy bay (nếu mua rẻ hơn, bạn được giữ lại phần dư làm tiền tiêu vặt). Bạn phải chọn giữa: 
Vietnam Airlines (6.8 triệu): Bay giờ đẹp (10h sáng), có sẵn 23kg hành lý ký gửi, suất ăn nóng, ghế rộng. Bạn đến nơi lúc 2h chiều, khỏe khoắn và kịp check-in khách sạn nghỉ ngơi trước khi họp. Dư 200k.
Hãng giá rẻ Vietjet/Scoot (3.8 triệu): Bay chuyến 2h sáng (red-eye flight), ghế chật, không hành lý ký gửi, không ăn uống. Bạn đến nơi lúc 6h sáng, không được check-in sớm, phải vật vờ ở sảnh chờ. Dư 3.2 triệu.  "
4,47,25,0.5319148936170213,0.40425531914893614,0.6382978723404256,0.23404255319148942,"Bạn là một người hướng nội đang trong trạng thái ""pin yếu"", chỉ muốn dùng 1 giờ nghỉ trưa để ăn nhanh và ngủ bù. Tuy nhiên, nhóm đồng nghiệp thân thiết lại hào hứng rủ bạn đi thử quán mới mở."
5,47,28,0.5957446808510638,0.3191489361702128,0.574468085106383,0.25531914893617025,"Bạn có voucher Spa 500k sắp hết hạn vào Chủ Nhật, nhưng dự án quan trọng mới chỉ xong 30% và đang rất gấp."
6,47,21,0.44680851063829785,0.40425531914893614,0.46808510638297873,0.06382978723404259,"Văn phòng cần người trực Tết Dương lịch (lương x4) để quản lý Server với rủi ro sự cố 40%. Bạn phải chọn giữa: Nhân viên A (Mới, cần tiền, kỹ thuật yếu) hoặc Nhân viên B (Cũ, giỏi, đã cọc tiền đi resort không hoàn hủy với lớp cấp 3)."
7,47,18,0.3829787234042553,0.46808510638297873,0.6808510638297872,0.21276595744680848,"Một bài đăng bắt trend do bạn soạn đang viral nhưng bị ném đá là ""kém duyên"". Sếp yêu cầu giữ nguyên để lấy tương tác, nhưng lương tâm bạn thấy nó phản cảm và hại thương hiệu."
8,47,27,0.574468085106383,0.2978723404255319,0.7872340425531915,0.4893617021276596,"Bạn là Kỹ sư trưởng, phát hiện trụ cầu dây văng T3 bị đổ lẫn dầu máy lúc 2 giờ sáng (hư hỏng 100%). Nếu dừng lại đập bỏ sẽ thiệt hại 20 tỷ, chậm 1 tháng và bạn bị kỷ luật, có thể là đuổi việc. Nếu đổ tiếp, bê tông sẽ che lấp dầu, không ai biết nhưng trụ cầu có nguy cơ sập trong tương lai."
9,47,24,0.5106382978723404,0.48936170212765956,0.574468085106383,0.08510638297872347,Bạn quản lý quỹ 10 triệu USD. Hệ thống báo lỗi giá cổ phiếu Bluechip giảm sàn trong 5-10 giây. Giá thực tế ở nơi khác vẫn cao.
